feature,importance
video,9.765280257379958
image,7.577168874984341
hillary,5.8625868567271
read,5.449139774270128
featured image,5.398647791972435
gop,5.378581629222494
president trump,5.355491140121182
featured,5.335090523699641
obama,4.994939848454531
watch,4.863961023283363
mr,4.805735315078516
wire,4.577565695690196
america,4.550935911229154
american,4.467491853442016
like,4.250704008917535
com,4.060823351489516
getty,3.8197301238455923
breaking,3.7574674177662355
getty image,3.6894289223924828
president obama,3.682400986986158
know,3.6104866295255404
rep,3.3747909290762177
sen,3.2486701421492907
isi,3.162653519599067
twitter com,3.0866834292789265
pic,3.075726464774396
http,3.0690054712980954
thing,3.0388947570744325
fact,2.9913162250000815
pic twitter,2.955783066583227
time,2.88425872839988
really,2.751474075615327
today,2.669284004523632
story,2.6442397547126095
terrorist,2.6353429597106186
actually,2.6306957155811244
daily,2.585568326176644
breitbart,2.542690097105262
liberal,2.535368220034138
report,2.5171820508474667
century wire,2.510213608390882
entire,2.477251133146986
fox,2.4734412268936143
st century,2.4336085943683132
news,2.4276463072322847
taxpayer,2.3637659611420383
money,2.3624073530282055
way,2.3447291315242103
claim,2.332067327846315
reason,2.323433158189661
make,2.263836175846753
come,2.2460285546930567
mail,2.2455055726023776
racist,2.2182730038149985
press,2.1948270119736546
tell,2.153660235435631
black,2.1498270694598616
went,2.141807508344629
terror,2.1302971296533926
going,2.1294334446092607
st,2.1275987897233617
reportedly,2.1221920371305605
let,2.099121005143928
muslim,2.0527216011903673
life,2.028672305154409
cnn,2.027501581795594
got,2.0245169343869085
alien,1.9846873350657273
according,1.9751624665351033
gov,1.9701126659483317
course,1.9228205870706359
morning,1.9138795479453736
think,1.870806478661405
guy,1.8537232815722904
truth,1.848670584911909
illegal alien,1.8260634696563263
photo,1.8249744416415956
john,1.820700861346355
believe,1.8116014178826532
cop,1.7927730887689932
look,1.7428884169599714
host,1.735592361575721
word,1.7348245433241085
apparently,1.7332005000001784
radical,1.7288304859810149
man,1.723771193198341
hate,1.7206560172659928
century,1.707514735348093
dnc,1.7020830183931828
fbi,1.6985816851979774
pretty,1.6829368120584873
citizen,1.6666324702505015
bernie,1.6542623055588177
claimed,1.6519029069947055
lie,1.646296506216612
daily mail,1.6449338761829402
recently,1.6419321763749397
huge,1.61605704877598
want,1.6094566069289706
soros,1.5775723473652932
student,1.5725701842740316
wow,1.5553176064235197
revealed,1.5468908606208922
dc,1.540396045303469
remember,1.5359408362738196
finally,1.5341469843990303
girl,1.5336902257259373
daily caller,1.531860481187632
kid,1.5299602276111037
breitbart news,1.5291556603714695
flag,1.522623532381214
flickr,1.5206062006349907
wfb,1.5190092730444755
sure,1.508665196761168
happened,1.4989453895574496
care,1.4981124353266622
live,1.4955599346892066
refugee,1.491952454568268
illegal,1.4804255460502087
caller,1.470498724594715
entire story,1.4696426413939505
doj,1.4691860423128373
mean,1.4689733738511166
great,1.468724377273228
big,1.4672964537487583
stand,1.4631605388242543
officer,1.4601979224450257
appears,1.4447270393718423
leftist,1.4422510142079903
matter,1.4366563303715811
threat,1.432685987777088
explained,1.4231954016781554
night,1.4067336788923206
dollar,1.4010233348501198
ap,1.3810415435551018
hill,1.3737662120337075
point,1.368804990562104
news st,1.362254658299777
sheriff,1.3600591259658756
press conference,1.3576393611359843
illegals,1.3519833603508358
bad,1.3502874469747923
stated,1.3481061721787257
regime,1.3394072233125014
washington post,1.3248992515940923
irs,1.3228426360340297
dr,1.3215792391440349
exactly,1.31837130970218
employee,1.3149195792101003
youtube,1.311081509343445
continues,1.308039344267358
fox news,1.3071631509410189
health care,1.2925076733181289
instead,1.2907152923146459
sharia,1.2899406654414631
simply,1.2888639429222915
room,1.288854582031692
world,1.2843185906457364
victim,1.2807211329831365
shocking,1.2780905711760826
left,1.275154244197492
yesterday,1.2741841777506036
gun,1.267702103534208
nyp,1.2639851342778725
secret,1.2627553036404409
supposed,1.261474482092424
probably,1.2520967658368052
wikileaks,1.2498617220610746
true,1.2482954616605664
worse,1.2466864377060882
hollywood,1.2451006636411228
person,1.2387354910527861
record,1.2380726276930758
friend,1.2334486902436232
nation,1.2202024444602944
obama administration,1.214073400491321
campus,1.214008278630696
trump,1.2088588852900155
turn,1.2050510153765277
county,1.2004925414321237
regarding,1.1985977984861542
pundit,1.1878227183086068
allegedly,1.1845303275656212
document,1.182894484279254
image flickr,1.181270566867503
massive,1.173224613922547
right,1.1729529324247112
cia,1.1727490063474812
clinton foundation,1.1593619563760549
wire say,1.1582680552926963
continued,1.1552987354160125
clearly,1.1535288680944256
wonder,1.1534306243148442
thanks,1.1525358885139432
destroy,1.151585525013172
oh,1.1438768129013277
hell,1.1419491161306188
away,1.1398942375737724
state department,1.138583307427193
th,1.1316739604907116
crazy,1.1203191626987283
need,1.1198129307564173
wire tv,1.112170812168464
reid,1.1116062695335518
open border,1.1095518891961145
member wire,1.1060457217341826
literally,1.1059780925279306
controversial,1.104783153379262
woman,1.1027764448015855
basically,1.0982081615177324
getting,1.0966464830474703
agent,1.0890366152665636
caught,1.0876030877244336
screen,1.0847531209679617
bernie sander,1.0836048095942667
baltimore,1.082495963322482
note,1.0824469877446283
criminal,1.0823321969317707
yes,1.0822600716440918
idea,1.0760849422742043
republican party,1.0753282411299518
decided,1.0716091581457015
telling,1.064984703366433
id,1.0599239222320966
joe,1.054888982336353
stop,1.0548016568556704
voted,1.0541854420691006
examiner,1.0539718357941044
realdonaldtrump,1.049978590732776
good,1.0481840681415622
listen,1.0430988607815996
awesome,1.0411629113113898
wrong,1.0377224890150771
brown,1.0367774429561554
screen capture,1.0309463645864505
involved,1.0300439423639065
park,1.0261011984564907
confederate,1.0246226498606874
